"logFC","logCPM","PValue","FDR","Gene","Dataset","Species"
-1.04728350504072,6.76854753825863,2.02539756573457e-12,3.2134432674872e-10,"Stx1a","GSE104036","Mouse"
-0.801845838613254,7.25257846654595,2.24353683930887e-12,3.5268810772071e-10,"Mtch1","GSE104036","Mouse"
3.02838306425048,4.57221096896342,2.44137734378706e-12,3.80300007143557e-10,"Adamts9","GSE104036","Mouse"
1.0387380087707,5.0767735094753,2.62980017735196e-12,4.05960594945278e-10,"Jun","GSE104036","Mouse"
2.61925730836058,3.1594319065916,2.72798401101822e-12,4.1735719668569e-10,"Tnfrsf12a","GSE104036","Mouse"
3.64877162122438,6.26344712263119,2.89012791925709e-12,4.38250813243099e-10,"Serpina3n","GSE104036","Mouse"
2.76681379907905,1.97375318369432,3.39894621806021e-12,5.10885468828611e-10,"Csf2rb","GSE104036","Mouse"
3.17333880899327,1.02357101658805,3.69541359866585e-12,5.50616626201212e-10,"Steap4","GSE104036","Mouse"
1.94436876833089,3.45850304011332,4.24009577534158e-12,6.26327940607569e-10,"Slc14a1","GSE104036","Mouse"
1.38612197258708,6.86368916108106,4.52356552336552e-12,6.62489702930498e-10,"Hspd1","GSE104036","Mouse"
8.83524007203151,-0.429102068783388,4.76803200016733e-12,6.92374816295485e-10,"Cxcl2","GSE104036","Mouse"
-1.75120192474706,3.22366670713484,4.84003892845364e-12,6.96924933101287e-10,"Selplg","GSE104036","Mouse"
7.50323073792485,-1.57362545078904,5.05574017646337e-12,7.21518690531288e-10,"Entpd8","GSE104036","Mouse"
-0.830668239017166,8.58085039417018,5.09505465738464e-12,7.21518690531288e-10,"Cx3cl1","GSE104036","Mouse"
1.67907615300536,2.13191192481932,5.33595226104157e-12,7.4943886879465e-10,"Pycard","GSE104036","Mouse"
1.54735356920146,2.5690126043261,5.54068888116264e-12,7.71867512022129e-10,"Morc4","GSE104036","Mouse"
-2.3159274212948,0.879208269383155,5.66396699245569e-12,7.8267801948168e-10,"Slc2a5","GSE104036","Mouse"
2.13636224543849,2.14785080869892,6.46641145824073e-12,8.86415682695639e-10,"Fcgr1","GSE104036","Mouse"
2.09280738305094,3.15783033473054,6.53748068974304e-12,8.89045489037674e-10,"Cyp1b1","GSE104036","Mouse"
-0.854807511068426,6.77756014968021,6.80586033890971e-12,9.18255251237936e-10,"Pfkl","GSE104036","Mouse"
2.31442181414339,2.29797604787299,7.39821251009199e-12,9.90377901253329e-10,"Gbp2","GSE104036","Mouse"
2.19809639164537,0.784156396753037,7.642821527708e-12,1.01519183625796e-09,"Mmp19","GSE104036","Mouse"
2.16664120773381,2.90096029989305,8.01837818829324e-12,1.05688392504927e-09,"Lrrc32","GSE104036","Mouse"
2.08338699531822,1.47353781424056,8.48434819885066e-12,1.10976569761302e-09,"Gem","GSE104036","Mouse"
3.1107907996971,-0.419395368371666,8.72605859531864e-12,1.13273495477867e-09,"Mx1","GSE104036","Mouse"
7.54570477405607,-1.57017391074902,8.79520886320123e-12,1.13312709677408e-09,"H19","GSE104036","Mouse"
-0.824086986499285,6.74726056547887,9.49775208796766e-12,1.21450732856213e-09,"Stmn2","GSE104036","Mouse"
-0.821472842600331,7.82747027925608,1.07706169338338e-11,1.36707052712032e-09,"Tubb2a","GSE104036","Mouse"
2.07677470613769,3.07950709811682,1.16191020089752e-11,1.46392141855727e-09,"Esr1","GSE104036","Mouse"
0.995073919810395,4.93204609621733,1.17410152278483e-11,1.46848391189183e-09,"Ccnl1","GSE104036","Mouse"
