"Name","Score","Gene"
"1382277_at",0.00227105903771409,"1382277_at"
"1388054_a_at",0.00227681811821781,"1388054_a_at"
"1398885_at",0.00228258439434508,"1398885_at"
"1367646_at",0.00229413853199622,"1367646_at"
"1370483_at",0.00229992639278305,"1370483_at"
"1373397_at",0.00230572144771936,"1373397_at"
"1395248_at",0.00231733313856649,"1395248_at"
"1372621_at",0.00232897360158969,"1372621_at"
"1375739_at",0.00234648823750634,"1375739_at"
"1382007_at",0.00236994176049962,"1382007_at"
"1389742_at",0.00238171166183776,"1389742_at"
"1367645_at",0.00238760739617775,"1367645_at"
"1393280_at",0.00239351031914047,"1393280_at"
"1379450_at",0.00239351031914047,"1379450_at"
"ILMN_1657395",0.00239739276799119,"ILMN_1657395"
"ILMN_2100411",0.00239739276799119,"ILMN_2100411"
"1371305_at",0.00241126221608118,"1371305_at"
"1389873_at",0.00242313275040164,"1389873_at"
"1371074_a_at",0.00243503203037202,"1371074_a_at"
"1370281_at",0.00244099244905506,"1370281_at"
"1373611_at",0.00245293484197514,"1373611_at"
"1371769_at",0.00248291654781871,"1371769_at"
"1398830_at",0.00248291654781871,"1398830_at"
"1383075_at",0.00252519260031812,"1383075_at"
"1389966_at",0.00254341861816889,"1389966_at"
"1374399_at",0.00256782048023976,"1374399_at"
"1368947_at",0.00256782048023976,"1368947_at"
"1372459_at",0.00257393889061287,"1372459_at"
"1371384_at",0.00257393889061287,"1371384_at"
"ILMN_2197365",0.00259712684277163,"ILMN_2197365"
"ILMN_7040270",0.00259712684277163,"ILMN_7040270"
"1389408_at",0.00259712684277163,"1389408_at"
"1368742_at",0.00260463859320163,"1368742_at"
"1389017_at",0.00262314452207974,"1389017_at"
"1391979_at",0.00264171501930292,"1391979_at"
"1386637_at",0.00267904967902873,"1386637_at"
"1371774_at",0.00268529722278048,"1371774_at"
"1371521_at",0.00271035909990365,"1371521_at"
"1368990_at",0.0027418477484665,"1368990_at"
"1389123_at",0.00276716768033919,"1389123_at"
"1368754_at",0.00278623287138493,"1368754_at"
"ILMN_2405297",0.00279685343290385,"ILMN_2405297"
"ILMN_3520093",0.00279685343290385,"ILMN_3520093"
"1370220_at",0.00279685343290385,"1370220_at"
"1372949_at",0.00279685343290385,"1372949_at"
"1367584_at",0.00280536254465594,"1367584_at"
"1375673_at",0.00281175343007931,"1375673_at"
"1398540_at",0.00283096906419764,"1398540_at"
"1383241_at",0.00283738860029348,"1383241_at"
"1388776_at",0.0028438152981377,"1388776_at"
"1369290_at",0.00285669017759976,"1369290_at"
"1371447_at",0.00286959369964082,"1371447_at"
"1385853_at",0.00291498154460765,"1385853_at"
"1368370_at",0.00292801392183793,"1368370_at"
"1386858_at",0.00292801392183793,"1386858_at"
"1387984_at",0.00293454084553495,"1387984_at"
"1372029_at",0.00293454084553495,"1372029_at"
"1368819_at",0.00295416455254015,"1368819_at"
"1367625_at",0.00296728280012772,"1367625_at"
"ILMN_2103761",0.00299657253857485,"ILMN_2103761"
"ILMN_990193",0.00299657253857485,"ILMN_990193"
"1373290_at",0.00300020361452223,"1373290_at"
"1387153_at",0.00300020361452223,"1387153_at"
"1367640_at",0.00301342201072798,"1367640_at"
"1371724_at",0.00302004193674171,"1371724_at"
"1373876_at",0.003073258766178,"1373876_at"
"1387887_at",0.00307994304200841,"1387887_at"
"1399158_a_at",0.00308663446598021,"1399158_a_at"
"1398872_at",0.00309333303772577,"1398872_at"
"1388557_at",0.00310003875687748,"1388557_at"
