gene,log2FC,pvalue,mean_plus,mean_minus,in_core
Phyh,0.1344513902606663,5.047761726475568e-13,2.074306941365614,1.8897272219562906,False
Spi1,0.3391618955106861,1.2560768288812526e-12,1.3679662873450271,1.0813779024122985,False
Sulf1,0.4912832011031497,1.6357302540369826e-12,6.057925141458027,4.309559910005223,False
Pltp,-0.2693994063847292,1.8365297274407078e-12,0.6372626234069138,0.7680964346619781,False
Slc39a12,0.1888124804246049,2.775518293508579e-12,2.58718842403348,2.2698117466146948,False
B930036N10Rik,0.6546710004218881,3.6353061413889815e-12,2.8649073691402913,1.8198474149217434,False
Gstm5,-0.061081862922613236,3.793409734068712e-12,1.0423500504039256,1.0874293853603791,False
Pcp4l1,0.030059793859477626,4.0314517588924735e-12,0.8967653104083632,0.8782737455459959,False
Cd53,0.5020051466608993,4.3383506473096516e-12,1.2212356900379604,0.8623446646957509,False
Ptpn1,0.026873961629385205,5.026651316528861e-12,1.5778658254105804,1.5487460133004718,False
Dstn,-0.7627265913250283,5.702530246812091e-12,0.5478571048490349,0.9295459877073207,False
Cox20,-0.24692229095072646,7.290500887280537e-12,1.4970152931688585,1.776467445178868,False
Cox5b,-0.8490948323339763,7.305064964650806e-12,0.6260499868589217,1.1277478932480258,False
Cd84,-0.1104173157001176,1.68863524671183e-11,1.9084239866009627,2.060220909353411,False
Rgs1,1.1909040608959311,1.988935043476017e-11,1.9465394742826232,0.8526393484043912,False
Ccnl1,0.2723998706698238,2.0698302852717322e-11,1.383368662970585,1.1453478413071148,False
Zeb2,0.18553145275676777,2.263954438326784e-11,1.539924737333426,1.3540944657770833,False
Tlr2,0.5809898358989698,2.6116747465538456e-11,2.6698556587328914,1.7848117435365158,False
Mlf1,0.82162473161903,2.999305606991523e-11,5.342167957147406,3.0226220672165685,False
Hint2,-0.22134955281508006,6.284734373398511e-11,1.3419569587362097,1.5644851371384776,False
Pdia3,0.7648637931668463,6.615152301677639e-11,0.8704720180641031,0.5122805541422726,False
Mpc2,-0.2537981434901724,9.106701991693986e-11,1.091142220284742,1.301014732799314,False
1110017D15Rik,0.8383011049592555,9.200940645058944e-11,6.404496692430856,3.5820465693225314,False
Pgrmc1,-0.11249027744153527,9.676710074738202e-11,1.158478960074114,1.2524231840830844,True
Prps2,0.19132888171833612,1.2739692055755078e-10,3.766735558558169,3.2989018878675798,False
Cd72,1.0644151038612457,1.5529100968355527e-10,3.2965280867456555,1.5762892226677367,False
Atp5g3,-0.6190853951325356,1.556719507170162e-10,1.0584484520872686,1.6256722256255203,False
Hnrnpa3,0.6046794970070579,1.5581173869984958e-10,0.8246949594847476,0.5423338023644861,False
1700007K13Rik,0.5960829038469966,1.6860309669204801e-10,6.8840999541269134,4.554160514001657,False
Clic3,0.0,1.929557840906695e-10,0.0,5.877690501160557,False
Cd48,0.08528076749528117,3.4257297516368307e-10,2.05719497763908,1.9391141983481803,False
Rps4x,0.31872276877602246,3.6013850975377717e-10,0.6110213031971213,0.4899042854083621,False
Fcgr2b,0.8358439613716931,3.7865470411982906e-10,1.797847169175686,1.0072532248933728,False
Sdhaf4,0.15510430534764472,3.8947246526288303e-10,1.9084334489249604,1.7139019441704793,False
Fbxo36,0.6345971135400127,3.933389247063372e-10,4.708822557414619,3.033049924251839,False
Ptma,0.042142951622062455,4.423369526631496e-10,0.6203605240504049,0.6025011242545205,False
Ndufb5,-0.4631974807869172,6.68590216639992e-10,0.8326983726649032,1.1479528525196698,False
Plppr4,0.0,7.003638944695814e-10,0.0,5.299099444940951,False
Romo1,-0.5729161314234834,7.11581677576012e-10,0.9186582522578539,1.3665292159154407,False
Swi5,-0.3704063152300119,9.610260842081212e-10,0.8010775228734179,1.0355664162277618,False
Htr2c,0.0,1.326728986788189e-09,0.0,6.008482392570551,False
B230118H07Rik,0.3590582679073022,1.441117870662884e-09,2.3654838142002506,1.8443046953337245,False
Ccdc34,0.2856938070198923,1.441130360898933e-09,2.4812607544144214,2.035494817453864,False
Scg5,0.38781186877712537,1.568509417840038e-09,4.342857212141896,3.319193301341769,False
Ehd4,0.5273723072835543,1.5807244722322014e-09,1.514941225213492,1.0510924113208386,False
Tgm2,0.13456388665878713,1.965599699545098e-09,1.3315793731800414,1.2129957881581415,False
Bex2,1.064107712403734,2.3466488490364913e-09,9.046633560646871,4.326718686439653,False
Dcaf12l1,0.0,2.5038940083375924e-09,0.0,5.879084022493464,False
Cebpb,0.0,2.5039293676804536e-09,2.7426819966392633,0.0,False
Phpt1,0.006540982638067952,2.686866395380657e-09,1.6951607183151516,1.68749248720621,False
Ephx1,0.35946873290089215,4.293338441712763e-09,2.691756921354862,2.0980941233176957,False
Abca4,0.0,4.708320846931135e-09,0.0,6.176556021028567,False
Ctsa,0.7135853011194706,5.8532746252685514e-09,0.9277799861432282,0.5657628408073445,False
Tgfb2,0.414896902993634,6.522008873610113e-09,2.131405242525622,1.5987097248303102,True
Ggh,-0.013050781073526694,6.7333939366677085e-09,1.6308322810820002,1.645651901635951,False
